,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
1,Phoenix Suns,82,64,18,3946,114.2,106.8,7.5,62.7,2.12,19.5,26.4,72.8,50.3,12.9,54.9,58.1,100.26,54.8,"8,242"
2,Memphis Grizzlies,82,56,26,3956,114.3,108.9,5.3,59.7,1.97,17.9,33.8,72.6,52.6,13,52.2,55.3,100.52,53,"8,295"
3,Golden State Warriors,82,53,29,3946,112.1,106.6,5.5,66.9,1.82,19.5,26.9,73.6,51,15,55.2,58.2,98.74,53.6,"8,121"
3,Miami Heat,82,53,29,3971,113,108.4,4.5,64.4,1.75,18.8,27.8,73.5,51,14.9,54.7,58.4,96.53,52.9,"7,987"
5,Dallas Mavericks,82,52,30,3951,112.5,109.1,3.5,59.5,1.87,17.8,25.6,73.3,49.6,13,53.8,57.2,95.64,51.1,"7,871"
6,Boston Celtics,82,51,31,3981,113.6,106.2,7.4,60.9,1.82,18.2,27.7,72.5,50.9,13.9,54.2,57.8,97.26,54.7,"8,068"
6,Milwaukee Bucks,82,51,31,3951,114.3,111.1,3.2,57.2,1.78,17.3,26.9,74.7,51.2,13.3,54.6,58,100.59,51.6,"8,284"
6,Philadelphia 76ers,82,51,31,3961,113,110.2,2.8,60.2,1.89,17.9,24.6,72.4,49,12.9,53.4,57.8,96.71,51.7,"7,975"
9,Utah Jazz,82,49,33,3946,116.2,110,6.2,55.2,1.6,16.7,30,73.8,52.5,14.3,55.5,58.9,97.5,52.8,"8,014"
10,Denver Nuggets,82,48,34,3961,113.8,111.5,2.3,66.7,1.92,20,26.8,75.2,51.5,14.6,55.6,59,98.41,51.6,"8,123"
10,Toronto Raptors,82,48,34,3971,112.1,109.9,2.2,54.3,1.77,16.1,32.5,71.4,50.8,12.8,51,54.3,96.63,49.4,"8,000"
12,Chicago Bulls,82,46,36,3946,112.7,113.2,-0.5,57.2,1.86,17.8,24.9,73.5,49.5,13,54.1,57.9,98.76,49.6,"8,124"
12,Minnesota Timberwolves,82,46,36,3956,113.8,111,2.7,61.7,1.79,18.1,28.4,70.6,49,14.1,53.9,57.3,101.47,50.4,"8,357"
14,Brooklyn Nets,82,44,38,3951,113.2,112.3,0.9,60.2,1.8,18.3,28.1,70.4,49.9,14.1,54,57.6,99.4,51.2,"8,177"
14,Cleveland Cavaliers,82,44,38,3946,111,108.9,2.1,63.4,1.75,18.7,27.7,72.4,50.6,14.8,53.8,57.1,96.83,51.7,"7,964"
16,Atlanta Hawks,82,43,39,3941,115.4,113.7,1.6,59.3,2.08,18.1,26.9,73.1,50.1,12,54.3,58.1,98.67,50.9,"8,099"
16,Charlotte Hornets,82,43,39,3976,113.6,113.1,0.5,65.6,2.12,19.6,27,70.6,48.6,13.1,54.4,57.2,100.52,50.4,"8,322"
18,LA Clippers,82,42,40,3956,109.5,109.5,0,59.9,1.75,17.7,25.4,70.6,48.6,13.9,53.1,56.4,98.51,50.2,"8,121"
19,New York Knicks,82,37,45,3956,109.7,110.2,-0.4,58.1,1.65,16.4,29.1,74,51.2,13.7,51.3,55,96.42,49.1,"7,958"
20,New Orleans Pelicans,82,36,46,3951,111.2,112,-0.8,62.1,1.78,18.1,30.6,74.2,51.8,14.3,51.7,55.7,98.02,50,"8,060"
21,Washington Wizards,82,35,47,3966,110.2,113.6,-3.4,61.7,1.91,18.5,24.7,73.1,49.4,13.3,53.2,56.8,97.8,49.6,"8,079"
22,San Antonio Spurs,82,34,48,3961,111.9,111.7,0.2,64.6,2.19,19.5,28.1,71.1,49.4,12.6,52.7,55.6,100.51,51,"8,290"
23,Los Angeles Lakers,82,33,49,3996,110,112.8,-2.9,57.6,1.65,17.3,25.6,72,49,14.2,53.7,56.7,100.47,48.2,"8,360"
24,Sacramento Kings,82,30,52,3961,109.6,114.8,-5.2,58.5,1.68,17.3,25.9,71.4,48.4,14,52.5,56.1,100.1,47.3,"8,252"
25,Portland Trail Blazers,82,27,55,3946,107.3,116.3,-9.1,59.5,1.58,17,26.8,72.1,48.7,14.6,51.5,55,98.74,44.7,"8,120"
26,Indiana Pacers,82,25,57,3976,111.9,115.5,-3.6,61.2,1.76,18.1,31,72.5,51.2,14.5,53.1,56.4,98.55,47.8,"8,166"
27,Oklahoma City Thunder,82,24,58,3961,103.8,111.7,-8,58,1.59,16.4,25.6,72.7,48.7,14,49.7,53,99.39,45.1,"8,198"
28,Detroit Pistons,82,23,59,3956,105.6,113.3,-7.7,61.5,1.65,17.1,27.6,70.7,48.1,14.3,49.4,53.3,98.81,45,"8,141"
29,Orlando Magic,82,22,60,3956,103.9,112.1,-8.1,62,1.64,17.4,24.9,73.5,49,14.4,50.3,53.8,99.71,45.8,"8,223"
30,Houston Rockets,82,20,62,3951,108.1,116.4,-8.3,59.8,1.43,17.1,26.5,71,48.5,16.2,53.4,56.5,101.16,45.1,"8,323"
